fid,OBJECTID,COUNTRY,CITIES,FUA_OR_CIT,CODE2012,ITEM2012,PROD_DATE,IDENT,AREA,Pop2012,fid_2,cat,value
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156474,484384,4
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156962,488482,5
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156716,489435,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156723,488717,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156743,488483,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156905,488246,14
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156906,488247,8
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156722,490129,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156757,491855,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156759,492070,4
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",157016,491637,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",157057,491207,4
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",157007,489901,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",157008,489900,8
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",157009,489439,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168909,489670,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168626,481791,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168653,489672,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168682,490132,7
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168683,490133,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168739,486448,9
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168735,482836,5
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",168737,486203,7
